# x	f(x)	F(x)	error
2.8635	5.80822	5.86188	-0.0536508
2.865	5.96896	6.02817	-0.059209
2.8665	6.13027	6.19504	-0.0647663
2.868	6.29215	6.36247	-0.0703176
2.8695	6.45458	6.53044	-0.0758579
2.871	6.61756	6.69894	-0.0813822
2.8725	6.78107	6.86796	-0.086885
2.874	6.94511	7.03747	-0.0923611
2.8755	7.10965	7.20746	-0.0978046
2.877	7.27469	7.3779	-0.10321
2.8785	7.44022	7.54879	-0.108571
2.88	7.60622	7.72011	-0.113883
2.8815	7.77269	7.89183	-0.119137
2.883	7.93961	8.06394	-0.12433
2.8845	8.10696	8.23642	-0.129453
2.886	8.27475	8.40925	-0.1345
2.8875	8.44294	8.58241	-0.139464
2.889	8.61154	8.75588	-0.144339
2.8905	8.78053	8.92965	-0.149116
2.892	8.9499	9.10369	-0.15379
2.8935	9.11963	9.27798	-0.158351
2.895	9.28972	9.45251	-0.162794
2.8965	9.46014	9.62725	-0.167108
2.898	9.63089	9.80218	-0.171288
2.8995	9.80196	9.97728	-0.175323
2.901	9.97332	10.1525	-0.179207
2.9025	10.145	10.3279	-0.18293
2.904	10.3169	10.5034	-0.186484
2.9055	10.4891	10.679	-0.189859
2.907	10.6616	10.8546	-0.193046
2.9085	10.8342	11.0303	-0.196037
2.91	11.0071	11.206	-0.198821
2.9115	11.1803	11.3816	-0.201389
2.913	11.3536	11.5573	-0.203731
2.9145	11.5271	11.7329	-0.205837
2.916	11.7007	11.9084	-0.207695
2.9175	11.8745	12.0838	-0.209297
2.919	12.0485	12.2591	-0.21063
2.9205	12.2226	12.4343	-0.211685
2.922	12.3968	12.6093	-0.212449
2.9235	12.5711	12.784	-0.212912
2.925	12.7455	12.9586	-0.213061
2.9265	12.92	13.1329	-0.212885
2.928	13.0945	13.3069	-0.212373
2.9295	13.2691	13.4806	-0.21151
2.931	13.4437	13.654	-0.210286
2.9325	13.6184	13.8271	-0.208687
2.934	13.793	13.9997	-0.2067
2.9355	13.9676	14.172	-0.204312
2.937	14.1422	14.3438	-0.201509
2.9385	14.3168	14.5151	-0.198279
2.94	14.4913	14.6859	-0.194606
2.9415	14.6658	14.8563	-0.190477
2.943	14.8402	15.026	-0.185878
2.9445	15.0144	15.1952	-0.180793
2.946	15.1886	15.3638	-0.175207
2.9475	15.3626	15.5318	-0.169106
2.949	15.5366	15.699	-0.162474
2.9505	15.7103	15.8656	-0.155296
2.952	15.8839	16.0315	-0.147555
2.9535	16.0573	16.1965	-0.139235
2.955	16.2305	16.3608	-0.130319
2.9565	16.4035	16.5243	-0.120792
2.958	16.5763	16.6869	-0.110635
2.9595	16.7488	16.8487	-0.0998317
2.961	16.9211	17.0095	-0.0883644
2.9625	17.0931	17.1693	-0.0762152
2.964	17.2649	17.3282	-0.0633659
2.9655	17.4363	17.4861	-0.0497981
2.967	17.6074	17.6429	-0.035493
2.9685	17.7782	17.7986	-0.0204318
2.97	17.9487	17.9532	-0.00459497
2.9715	18.1187	18.1067	0.012037
